timestamp,pair,side,entry_price,close_price,size,cost_usd,leverage,pnl_usd,pnl_pct,close_reason,trade_id
2026-06-17T15:31:28.572848+00:00,CFX/USDT,BUY,0.0522,0.05236,9578.5,99.9995,5,1.5326,1.5326,,TI-2d5fc034
2026-06-17T15:35:57.660538+00:00,BIO/USDT,BUY,0.03618,0.0331735,13819.78,99.9999,5,-41.5492,-41.5492,,TI-b4ce1ce6
2026-06-17T16:50:26.925527+00:00,BIO/USDT,BUY,0.03589,0.03577,13931.45,99.9999,5,-2.6701,-2.6701,,TI-a81dc50e
2026-06-17T18:55:04.285992+00:00,BIO/USDT,BUY,0.03577,0.03595,13978.19,100.0,5,1.5136,1.5136,,TI-a6b059d9
2026-06-18T08:26:56.762333+00:00,BIO/USDT,BUY,0.03718,0.03733,13448.09,100.0,5,1.0152,1.0152,,TI-b2079257
2026-06-18T09:15:25.494160+00:00,BIO/USDT,BUY,0.03724,0.03712,13426.42,100.0,5,-2.6096,-2.6096,,TI-2b9685aa
2026-06-18T10:12:20.566162+00:00,UNI/USDT,SELL,3.141,3.004355,159.1849,100.0,5,21.7518,21.7518,,TI-827b954f
2026-06-18T10:22:09.076779+00:00,MEGA/USDT,BUY,0.06508,0.0658,7682.85,100.0,5,4.5261,4.5261,,TI-389a6b82
2026-06-18T13:34:14.961889+00:00,MEGA/USDT,BUY,0.06598,0.06883595,7578.05,99.9999,5,21.6425,21.6425,,TI-6293c331
2026-06-18T14:42:56.469822+00:00,MEGA/USDT,BUY,0.06429,0.06715163,7777.25,99.9999,5,22.2556,22.2556,,TI-66802c4d
2026-06-18T15:16:43.271766+00:00,GRASS/USDT,SELL,0.413,0.4039,1210.65,99.9997,5,10.0279,10.0279,,TI-fee3ea69
2026-06-18T15:43:07.060644+00:00,GRASS/USDT,SELL,0.4041,0.4014,1237.31,99.9994,5,2.3441,2.3441,,TI-9ee9b291
2026-06-18T16:17:57.119428+00:00,GRASS/USDT,SELL,0.4083,0.38948148,1224.58,99.9992,5,23.0448,23.045,,TI-6bd2dd49
2026-06-18T16:24:44.179701+00:00,GRASS/USDT,SELL,0.4121,0.38993268,1213.29,99.9994,5,26.8954,26.8956,,TI-c24a0912
2026-06-18T17:45:22.365978+00:00,ORDI/USDT,SELL,3.015,2.997,165.837,99.9997,5,1.9881,1.9881,,TI-877a30d0
2026-06-18T17:48:31.729008+00:00,FARTCOIN/USDT,SELL,0.1228,0.1224,4071.66,100.0,5,0.6303,0.6303,,TI-5c639488
2026-06-18T18:13:25.977867+00:00,SOL/USDT,SELL,68.56,68.49,7.2928,99.9989,5,-0.489,-0.489,,TI-b98eb77f
2026-06-18T18:25:12.582071+00:00,GRASS/USDT,SELL,0.4066,0.38736272,1229.7,99.9992,5,23.6561,23.6563,,TI-2562afca
2026-06-18T18:28:23.124560+00:00,UNI/USDT,SELL,2.955,3.110933,169.2047,100.0,5,-26.3846,-26.3846,,TI-52821498
2026-06-18T18:35:53.895917+00:00,SOL/USDT:USDT,SELL,68.87,68.591,7.2,99.0674,5,1.0191,1.0287,,TI-manual-SOLUSDT-1781807753
2026-06-18T18:42:48.247608+00:00,UNI/USDT:USDT,SELL,2.963,2.982,169.0,101.094,5,-4.2157,-4.1701,,TI-manual-UNIUSDT-1781808168
2026-06-18T18:59:31.541627+00:00,GRASS/USDT,SELL,0.405,0.414,1234.56,99.9994,5,-12.1221,-12.1222,,TI-d14378fc
2026-06-18T19:17:59.332394+00:00,GRASS/USDT,SELL,0.4108,0.38842868,1217.13,99.9994,5,26.256,26.2562,,TI-590ff052
2026-06-18T19:30:59.833484+00:00,INTC/USDT:USDT,BUY,134.48,139.686609,0.74,99.5152,1,3.65,3.6678,,TI-1e897370
2026-06-18T20:21:00.580080+00:00,INTC/USDT:USDT,BUY,132.69,134.13,0.74,5.0224,20,0.8682,17.2867,,TI-manual-INTCUSDT-1781814060
2026-06-19T02:46:02.270908+00:00,UNI/USDT:USDT,SELL,3.196,3.088,159.0,98.493,5,16.1728,16.4203,,TI-manual-UNIUSDT-1781837162
2026-06-19T03:18:44.571697+00:00,BAN/USDT,SELL,0.06481,0.0676525,7714.85,99.9999,5,-22.9514,-22.9514,,TI-43f5fe41
2026-06-19T06:02:40.208928+00:00,BAN/USDT:USDT,SELL,0.06504,0.06503,7714.0,100.6293,5,-0.9262,-0.9204,,TI-manual-BANUSDT-1781848960
2026-06-19T07:25:39.336889+00:00,ETH/USDT:USDT,SELL,1699.51,1696.9,0.29,98.7172,5,-0.2281,-0.2311,,TI-manual-ETHUSDT-1781853939
2026-06-19T07:54:11.662003+00:00,MEGA/USDT,SELL,0.05718,0.06022904,8744.31,99.9999,5,-27.6884,-27.6884,,TI-70c7c45f
2026-06-19T07:57:16.125059+00:00,MSTR/USDT:USDT,SELL,112.18,115.88323857,0.89,99.8402,1,-3.4989,-3.5045,,TI-4c18fdad
2026-06-19T10:31:53.638769+00:00,MSTR/USDT:USDT,SELL,112.3,111.57,0.89,5.024,20,0.4505,8.967,,TI-manual-MSTRUSDT-1781865113
2026-06-19T10:32:18.474336+00:00,XLK/USDT:USDT,BUY,192.07,191.98,0.35,13.4789,5,-0.1659,-1.2308,,TI-manual-XLKUSDT-1781865138
2026-06-19T10:40:11.398336+00:00,NATGAS/USDT:USDT,BUY,3.26,3.22716171,30.6,99.756,1,-1.2034,-1.2063,,TI-6d177d4b
2026-06-19T11:15:04.074347+00:00,NATGAS/USDT:USDT,BUY,3.259,3.262,30.6,5.0508,20,-0.1077,-2.1324,,TI-manual-NATGASUSDT-1781867704
2026-06-19T11:52:15.218518+00:00,CL/USDT:USDT,BUY,76.058,74.62675971,6.57,99.9402,5,-10.3932,-10.3994,,TI-2bd60678
2026-06-19T11:54:15.821958+00:00,ANTHROPIC/USDT:USDT,BUY,1752.64,0,0.05,17.5264,5,0,0,OPEN,TI-0827de79
2026-06-19T12:25:00.994435+00:00,MSTR/USDT:USDT,SELL,111.84,114.97659429,4.47,99.985,5,-15.0344,-15.0367,,TI-14ef67b7
2026-06-19T12:37:25.093442+00:00,BZ/USDT:USDT,BUY,79.78,81.105988,6.26,99.8846,5,7.2935,7.3019,,TI-e8163b2a
